UlicaID;Ulica_Name;Dzielnica_Name;Miasto_Name
22959;Smagów;Smagów;Borkowice
10768;Borne sulinowo;Brak;Borne sulinowo
3397;Chojęcin;Chojęcin;Bralin
18426;Patoki;Patoki;Brańsk
26018;Tarnówko;Tarnówko;Brodnica
520000;Strażacka;Ul. Strażacka;Brodnica
44874;Karczma kunowska;Karczma kunowska;Brody
18221;Kaczkowo nowe;Kaczkowo nowe;Brok
19812;Janoszyce;Janoszyce;Brudzeń duży
8982;Rokicie;Rokicie;Brudzeń duży
31961;Sikórz;Sikórz;Brudzeń duży
44370;Warszyn;Warszyn;Brusy
8553;Zalesie;Zalesie;Brusy
486086;Ofiar katynia;Ul. Ofiar katynia;Brzeg
15617;Sterkowiec;Sterkowiec;Brzesko
280142;Diamentowa;Ul. Diamentowa;Brzesko
39265;Brzeziny;Brak;Brzeziny
26220;Polik;Polik;Brzeziny
422652;Słoneczna;Brzeźnica;Brzeźnica
598;Brzozów;Brak;Brzozów
14872;Kowalew;Kowalew;Buczek
52235;Wyszyny;Wyszyny;Budzyń
2005;Buk;Brak;Buk
30511;Busko-zdrój;Brak;Busko-zdrój
262058;Sady;Ul. Sady;Busko-zdrój
54560;Urszulin;Urszulin;Bychawa
548367;Nastrojowa;Bartodzieje małe;Bydgoszcz
99522;Bielawy;Bielawy;Bydgoszcz
375601;Jana karola chodkiewicza;Bielawy;Bydgoszcz
265611;Marii curie skłodowskiej;Bielawy;Bydgoszcz
535184;Jana zamoyskiego;Bocianowo;Bydgoszcz
374;Bydgoszcz;Brak;Bydgoszcz
401995;Ludwika waryńskiego;Błonie;Bydgoszcz
76854;Czyżkówko;Czyżkówko;Bydgoszcz
465691;Karolewska;Czyżkówko;Bydgoszcz
99261;Jachcice;Jachcice;Bydgoszcz
71509;Kapuściska;Kapuściska;Bydgoszcz
284775;Sandomierska;Kapuściska;Bydgoszcz
492580;Jagiellońska;Skrzetusko;Bydgoszcz
375000;Grudziądzka;Stare miasto;Bydgoszcz
278153;Gen. stanisława taczaka;Stary Fordon;Bydgoszcz
356046;Stanisława leszczyńskiego;Szwederowo;Bydgoszcz
73495;Szwederowo;Szwederowo;Bydgoszcz
269000;Wiktora degi;Ul. Wiktora degi;Bydgoszcz
470681;Ku wiatrakom;Wyżyny;Bydgoszcz
369864;Tadeusza boya-żeleńskiego;Wyżyny;Bydgoszcz
105497;Wyżyny;Wyżyny;Bydgoszcz
384;Bytom;Brak;Bytom
547420;Dworcowa;Centrum;Bytom
301924;Hugona kołłątaja;Karb;Bytom
68013;Karb;Karb;Bytom
66586;Rozbark;Rozbark;Bytom
26498;Dąbrowa;Dąbrowa;Bytoń
18014;Udorpie;Udorpie;Bytów
13717;Będzin;Brak;Będzin
324237;Powstańców śląskich;Ul. Powstańców śląskich;Będzin
379999;Rzeszowska;Ul. Rzeszowska;Będzin
14342;Zagaje;Zagaje;Będzino
8547;Trzylatków-parcela;Trzylatków-parcela;Błędów
16716;Rudnik;Rudnik;Cegłów
9043;Dąbrówka;Dąbrówka;Celestynów
358778;Juliusza słowackiego;Ul. Juliusza słowackiego;Centrum
50723;Cewice;Cewice;Cewice
15887;Przepłochy;Przepłochy;Cewice
17148;Unieszyniec;Unieszyniec;Cewice
26433;Uniejów-kolonia;Uniejów-kolonia;Charsznica
367;Chełm;Brak;Chełm
17991;Zagroda;Zagroda;Chełm
449000;Podłuże;Chełm śląski;Chełm śląski
20360;Klimkówka;Klimkówka;Chełmiec
11488;Ubiad;Ubiad;Chełmiec
2024;Chełmno;Brak;Chełmno
23134;Chełmno;Brak;Chełmno
2523;Chełmża;Brak;Chełmża
42788;Zalesie;Zalesie;Chełmża
13290;Borówki;Borówki;Chmielnik
1975;Chmielnik;Brak;Chmielnik
2974;Chmielno;Brak;Chmielno
9550;Skibice;Skibice;Choceń
53881;Ciekocino;Ciekocino;Choczewo
24716;Chodzież;Brak;Chodzież
1979;Chojna;Brak;Chojna
5924;Grzybno;Grzybno;Chojna
48306;Chojnice;Brak;Chojnice
46745;Porosły;Porosły;Choroszcz
351;Chorzów;Brak;Chorzów
445263;Władysława truchana;Centrum;Chorzów
391176;3 maja;Chorzów II;Chorzów
399920;Karolinki;Ul. Karolinki;Chorzów
2122;Chrostkowo;Brak;Chrostkowo
9491;Płaza;Płaza;Chrzanów
417119;Słoneczna;Lędziny;Chrząstowice
20696;Krężel;Krężel;Chynów
25285;Sobkowe;Sobkowe;Ciasna
36935;Ciechanów;Brak;Ciechanów
426048;Adama asnyka;Kargoszyn;Ciechanów
509540;Osiedle ułanów;Osiedle ułanów;Ciechanów
427504;Spółdzielcza;Ul. Spółdzielcza;Ciechanów
18704;Wólka rydzewska;Wólka rydzewska;Ciechanów
14747;Muszkowice;Muszkowice;Ciepłowody
19000;Bogoniowice;Bogoniowice;Ciężkowice
2013;Cmolas;Brak;Cmolas
11053;Białkówek;Białkówek;Cybinka
9329;Wólka cycowska;Wólka cycowska;Cyców
1995;Czaplinek;Brak;Czaplinek
22928;Brzezinka;Brzezinka;Czaplinek
16308;Flisów;Flisów;Czarna dąbrówka
46791;Czeladź;Brak;Czeladź
2136;Czemierniki;Brak;Czemierniki
19335;Czernica;Czernica;Czernica
15365;Pawłówko;Pawłówko;Czernice borowe
27148;Toki;Toki;Czernice borowe
8054;Załogi-jędrzejki;Załogi-jędrzejki;Czernice borowe
13802;Zawale;Zawale;Czernichów
26970;Kęsza;Kęsza;Czersk
8467;Szałamaje;Szałamaje;Czersk
57976;Uboga;Uboga;Czersk
13514;Zapędowo;Zapędowo;Czersk
1980;Czerwieńsk;Brak;Czerwieńsk
14009;Piaśnica;Piaśnica;Czerwieńsk
52819;Dobki stare;Dobki stare;Czerwin
53130;Piski;Piski;Czerwin
17421;Stare radzikowo;Stare radzikowo;Czerwińsk nad wisłą
521857;Osiedle leśne;Koziegłowy;Czerwonak
45206;Ludwikowo;Ludwikowo;Czerwonak
7117;Lipniki;Lipniki;Czerwonka
13625;Kluszkowce;Kluszkowce;Czorsztyn
460889;Za stylchyn;Kluszkowce;Czorsztyn
487912;Wiśniowa;Łomna-las;Czosnów
22866;Łomna-las;Łomna-las;Czosnów
21789;Podrzeczany;Podrzeczany;Czyże
339;Częstochowa;Brak;Częstochowa
519274;Krzysztofa kamila baczyńskiego;Północ;Częstochowa
510232;Aleja pokoju;Raków;Częstochowa
377238;Józefa mireckiego;Raków;Częstochowa
101540;Raków;Raków;Częstochowa
476583;Diamentowa;Ul. Diamentowa;Częstochowa
500319;Bohaterów katynia;Wrzosowiak;Częstochowa
63481;Wrzosowiak;Wrzosowiak;Częstochowa
486360;Jasnogórska;Śródmieście;Częstochowa
1237;Daleszyce;Brak;Daleszyce
21238;Niwy;Niwy;Daleszyce
24143;Eufemia;Eufemia;Dalików
11179;Lubocha;Lubocha;Dalików
413463;Kropla bałtyku;Darłówko;Darłowo
5038;Dąbki;Dąbki;Darłowo
17011;Leśnica;Leśnica;Darłowo
6746;Słowinko;Słowinko;Darłowo
2008;Debrzno;Brak;Debrzno
53623;Debrzno;Brak;Debrzno
51633;Dobczyce;Brak;Dobczyce
2010;Dobiegniew;Brak;Dobiegniew
23242;Strzelce dolne;Strzelce dolne;Dobrcz
20667;Nowa wieś;Nowa wieś;Dobre
9440;Ułomie;Ułomie;Dobre
10400;Kazimierowo;Kazimierowo;Dobre miasto
35447;Smolajny;Smolajny;Dobre miasto
14890;Celów;Celów;Dobromierz
35093;Szymanów;Szymanów;Dobromierz
14642;Dobryszyce;Dobryszyce;Dobryszyce
11810;Strachoń;Strachoń;Dobrzyń nad wisłą
7535;Piskorzów;Piskorzów;Domaniów
10653;Polwica;Polwica;Domaniów
10507;Wielka kolonia;Wielka kolonia;Domaszowice
290000;Parkowa;Trzcielin;Dopiewo
45655;Ostrów;Ostrów;Dorohusk
11139;Honiatyn;Honiatyn;Dołhobyczów
22500;Hulcze;Hulcze;Dołhobyczów
16727;Majdan;Majdan;Dołhobyczów
25267;Mniszek;Mniszek;Dragacz
13004;Kiełpino;Kiełpino;Drawno
24401;Nętno;Nętno;Drawsko pomorskie
18106;Leszczanka;Leszczanka;Drelów
40651;Górczynka;Górczynka;Drezdenko
13400;Dobrosielice drugie;Dobrosielice drugie;Drobin
50966;Świerczyn-bęchy;Świerczyn-bęchy;Drobin
2017;Drohiczyn;Brak;Drohiczyn
44921;Zakościele;Zakościele;Drzewica
12615;Dubiecko;Brak;Dubiecko
9439;Kamieniec;Kamieniec;Dukla
13849;Rzeczyca sucha;Rzeczyca sucha;Dwikozy
40489;Działdowo;Brak;Działdowo
11264;Iżykowice;Iżykowice;Działoszyce
61161;Kalisz;Kalisz;Dziemiany
9871;Stare brzozowo;Stare brzozowo;Dzierzgowo
8058;Stara wieś;Stara wieś;Dzierzgoń
11455;Sosnowa wola;Sosnowa wola;Dzierzkowice
60350;Dziwnów;Brak;Dziwnów
463918;Wolności;Dziwnówek;Dziwnów
33108;Międzywodzie;Międzywodzie;Dziwnów
4573;Łukęcin;Łukęcin;Dziwnów
31654;Sucharzewo;Sucharzewo;Dąbrowa
14532;Szczepanowo;Szczepanowo;Dąbrowa
2019;Dąbrowa chełmińska;Brak;Dąbrowa chełmińska
363;Dąbrowa górnicza;Brak;Dąbrowa górnicza
2023;Dąbrowice;Brak;Dąbrowice
1990;Dębe wielkie;Brak;Dębe wielkie
8224;Poręby;Poręby;Dębe wielkie
21237;Paszczyna;Paszczyna;Dębica
17107;Boguszyce;Boguszyce;Dębnica kaszubska
9848;Choszczówko;Choszczówko;Dębno
6916;Roztok;Roztok;Dębno
5962;Pasikurowice;Pasikurowice;Długołęka
11977;Dźwierzutki;Dźwierzutki;Dźwierzuty
260214;Aleja grunwaldzka;Aleja grunwaldzka;Elbląg
349;Elbląg;Brak;Elbląg
52844;Przezmark;Przezmark;Elbląg
291346;Hetmańska;Ul. Hetmańska;Elbląg
468357;Piotra kłoczowskiego;Ul. Piotra kłoczowskiego;Elbląg
28055;Ełk;Brak;Ełk
411836;Fryderyka chopina;Centrum;Ełk
451636;Wojska polskiego;Centrum;Ełk
31366;Chojniak;Chojniak;Ełk
528984;Jana pawła ii;Nowa wieś ełcka;Ełk
511782;Grodzieńska;Ul. Grodzieńska;Ełk
470312;Jana pawła ii;Ul. Jana pawła ii;Ełk
506658;Michała kajki;Ul. Michała kajki;Ełk
39760;Rybotycze;Rybotycze;Fredropol
468447;Skwer prezydenta lecha kaczyńskiego;Skwer prezydenta lecha kaczyńskiego;Garwolin
373;Gdańsk;Brak;Gdańsk
551463;Anny jagiellonki;Chełm;Gdańsk
543436;Marcina dragana;Chełm;Gdańsk
367937;Jabłoniowa;Jasień;Gdańsk
82364;Jasień;Jasień;Gdańsk
440980;Krzysztofa komedy;Jasień;Gdańsk
300641;Lawendowe wzgórze;Jasień;Gdańsk
304627;Potęgowska;Jasień;Gdańsk
89092;Jelitkowo;Jelitkowo;Gdańsk
262477;Przytulna;Kiełpinek;Gdańsk
439242;Heliosa;Kowale;Gdańsk
498798;Letnicka;Letnica;Gdańsk
430134;Starowiejska;Letnica;Gdańsk
517652;Sucha;Letnica;Gdańsk
476027;Myśliwska;Morena;Gdańsk
424750;Ks. jerzego popiełuszki;Młyniska;Gdańsk
538831;Karpacka;Oliwa;Gdańsk
93910;Oliwa;Oliwa;Gdańsk
95786;Orunia;Orunia;Gdańsk
446135;Borkowska;Orunia-Św. Wojciech-Lipce;Gdańsk
403313;Koralowa;Orunia-Św. Wojciech-Lipce;Gdańsk
76393;Osowa;Osowa;Gdańsk
324970;Ignacego matuszewskiego;Piecki-Migowo;Gdańsk
312711;Myśliwskie wzgórze;Piecki-Migowo;Gdańsk
286786;Teofila lenartowicza;Przeróbka;Gdańsk
447400;Czarny dwór;Przymorze;Gdańsk
460546;Jagiellońska;Przymorze;Gdańsk
370251;Prezydenta lecha kaczyńskiego;Przymorze;Gdańsk
75965;Przymorze;Przymorze;Gdańsk
461533;Kartuska;Siedlce;Gdańsk
514750;Legnicka;Siedlce;Gdańsk
419869;Powstańców warszawskich;Siedlce;Gdańsk
89001;Siedlce;Siedlce;Gdańsk
346584;Niepołomicka;Ujeścisko;Gdańsk
334586;Stanisława dąbka;Ujeścisko;Gdańsk
82186;Ujeścisko;Ujeścisko;Gdańsk
411284;Cedrowa;Ujeścisko-łostowice;Gdańsk
357082;Nadmorski dwór;Ul. Nadmorski dwór;Gdańsk
344517;Tysiąclecia;Ul. Tysiąclecia;Gdańsk
394333;Aleja grunwaldzka;Wrzeszcz;Gdańsk
293744;Bolesława leśmiana;Wrzeszcz;Gdańsk
392003;Grudziądzka;Wrzeszcz;Gdańsk
508935;Partyzantów;Wrzeszcz;Gdańsk
363365;Startowa;Zaspa;Gdańsk
71293;Zaspa;Zaspa;Gdańsk
474310;Żwirki i wigury;Zaspa;Gdańsk
321062;Hokejowa;Łostowice;Gdańsk
440996;Jaglana;Śródmieście;Gdańsk
345577;Korzenna;Śródmieście;Gdańsk
476671;Rybaki górne;Śródmieście;Gdańsk
419015;Toruńska;Śródmieście;Gdańsk
473637;Wałowa;Śródmieście;Gdańsk
105466;Śródmieście;Śródmieście;Gdańsk
388;Gdynia;Brak;Gdynia
97727;Chylonia;Chylonia;Gdynia
65597;Dąbrowa;Dąbrowa;Gdynia
405426;Rdestowa;Dąbrowa;Gdynia
104414;Grabówek;Grabówek;Gdynia
457000;Sambora;Grabówek;Gdynia
461360;Stanisława wąsowicza;Grabówek;Gdynia
512672;Strzelców;Mały kack;Gdynia
73559;Obłuże;Obłuże;Gdynia
285009;Podgórska;Obłuże;Gdynia
349000;Plac wolnej ukrainy;Plac wolnej ukrainy;Gdynia
371258;Żeliwna;Pogórze;Gdynia
80236;Redłowo;Redłowo;Gdynia
463161;Wiczlińska;Wiczlino;Gdynia
370162;Narcyzowa;Witomino-radiostacja;Gdynia
524053;Nauczycielska;Witomino-radiostacja;Gdynia
375885;Jerzego waszyngtona;Śródmieście;Gdynia
513224;Stefana żeromskiego;Śródmieście;Gdynia
98012;Śródmieście;Śródmieście;Gdynia
472808;Świętojańska;Śródmieście;Gdynia
52856;Daniłowce;Daniłowce;Giby
868;Gidle;Brak;Gidle
4863;Ojrzeń;Ojrzeń;Gidle
14989;Włynice;Włynice;Gidle
9385;Zagórze;Zagórze;Gidle
3772;Giżycko;Brak;Giżycko
7563;Brody młockie;Brody młockie;Glinojeck
386;Gliwice;Brak;Gliwice
105665;Sikornik;Sikornik;Gliwice
547791;Ks. dr. antoniego korczoka;Sośnica;Gliwice
91320;Stare gliwice;Stare gliwice;Gliwice
103202;Szobiszowice;Szobiszowice;Gliwice
491325;Cichociemnych;Trynek;Gliwice
3811;Pieniążkowo;Pieniążkowo;Gniew
7157;Bychowo;Bychowo;Gniewino
11637;Nadole;Nadole;Gniewino
12696;Gniezno;Brak;Gniezno
44823;Górażdże;Górażdże;Gogolin
2308;Golczewo;Brak;Golczewo
9501;Dobromyśl;Dobromyśl;Golczewo
7801;Goleniów;Brak;Goleniów
4474;Krzewno;Krzewno;Goleniów
37675;Marszewo;Marszewo;Goleniów
325529;Godziszowska;Godziszów;Goleszów
7511;Golub-dobrzyń;Brak;Golub-dobrzyń
51310;Krążno;Krążno;Golub-dobrzyń
26326;Osowiec-twierdza;Osowiec-twierdza;Goniądz
7097;Kwiatonowice;Kwiatonowice;Gorlice
14268;Gostynin;Brak;Gostynin
3840;Górki pierwsze;Górki pierwsze;Gostynin
7545;Zwoleń;Zwoleń;Gostynin
10601;Kowalewo-boguszyce;Kowalewo-boguszyce;Gozdowo
29000;Suczki;Suczki;Gołdap
13680;Wielgołęka;Wielgołęka;Gołymin-ośrodek
24123;Nowa sobótka;Nowa sobótka;Grabów
22305;Wygorzele;Wygorzele;Grabów
18285;Czarna wielka;Czarna wielka;Grodzisk
8728;Żery-pilaki;Żery-pilaki;Grodzisk
35350;Grodzisk mazowiecki;Brak;Grodzisk mazowiecki
364941;Żyrardowska;Centrum;Grodzisk mazowiecki
31886;Chawłowo;Chawłowo;Grodzisk mazowiecki
25095;Albertowsko;Albertowsko;Grodzisk wielkopolski
334;Grudziądz;Brak;Grudziądz
70446;Rządz;Rządz;Grudziądz
1594;Świecie nad osą;Świecie nad osą;Grudziądzki
4805;Kołomąć;Kołomąć;Gryfice
3222;Gryfino;Brak;Gryfino
381827;Flisacza;Ul. Flisacza;Gryfino
60586;Ubocze;Ubocze;Grzmiąca
16935;Bobrowniki;Bobrowniki;Gródek
16492;Rożnów;Rożnów;Gródek nad dunajcem
18830;Duży dół;Duży dół;Grójec
308648;Polna;Głuchów;Grójec
14000;Kózki;Kózki;Grębków
20529;Orliska;Orliska;Grębów
20573;Budoradz;Budoradz;Gubin
18241;Drzeńsk wielki;Drzeńsk wielki;Gubin
10050;Pleśno;Pleśno;Gubin
20000;Kąty;Kąty;Góra kalwaria
423797;Jana ludwika popławskiego;Ul. Jana ludwika popławskiego;Górczyn
41804;Nerwiki;Nerwiki;Górowo iławeckie
6855;Laski wielkie;Laski wielkie;Gąsawa
37029;Głogów;Brak;Głogów
390924;Mechaniczna;Ul. Mechaniczna;Głogów
399000;Fryderyka chopina;Rogoźnica;Głogów małopolski
15700;Zapole;Zapole;Głogów małopolski
6137;Anachów;Anachów;Głogówek
8828;Stare kotkowice;Stare kotkowice;Głogówek
4572;Brzóza;Brzóza;Głowaczów
19626;Osiedle pasterówka;Osiedle pasterówka;Głuchołazy
13995;Głuszczyzna;Głuszczyzna;Głusk
1997;Głuszyca;Brak;Głuszyca
16813;Dochowo;Dochowo;Główczyce
7666;Łęg;Łęg;Haczów
40340;Huta krzeszowska;Huta krzeszowska;Harasiuki
18034;Herby;Herby;Herby
54607;Monasterz;Monasterz;Horyniec-zdrój
21095;Dąbrowa;Dąbrowa;Hrubieszów
19430;Inowrocław;Brak;Inowrocław
23036;Sikorowo;Sikorowo;Inowrocław
291710;Ignacego daszyńskiego;Ul. Ignacego daszyńskiego;Inowrocław
375396;Szymborska;Ul. Szymborska;Inowrocław
17475;Sikornik;Sikornik;Irządze
36269;Zawadka;Zawadka;Irządze
9252;Olchowa;Olchowa;Iwierzyce
569;Iwonicz-zdrój;Brak;Iwonicz-zdrój
10772;Iława;Brak;Iława
2700;Iłowa;Brak;Iłowa
9503;Wilkowisko;Wilkowisko;Iłowa
18148;Błaziny górne;Błaziny górne;Iłża
16296;Jabłonowo-zamek;Jabłonowo-zamek;Jabłonowo pomorskie
19980;Wężówka;Wężówka;Jadów
16270;Studzieńczyna;Studzieńczyna;Janów
51030;Janów lubelski;Brak;Janów lubelski
13180;Romanów;Romanów;Janów podlaski
92829;Zaolzie;Zaolzie;Jarczów
36536;Jarocin;Brak;Jarocin
7394;Radlin;Radlin;Jarocin
339521;Węglowa;Ul. Węglowa;Jarocin
505200;Osiedle ustronne;Witaszyce;Jarocin
52942;Trzcianka;Trzcianka;Jasieniec
21628;Jasień;Brak;Jasień
58225;Jastarnia;Brak;Jastarnia
53779;Jastrowie;Brak;Jastrowie
1938;Jastrząb;Brak;Jastrząb
1969;Jastrząb;Brak;Jastrząb
11793;Kuźnia;Kuźnia;Jastrząb
348;Jastrzębie-zdrój;Brak;Jastrzębie-zdrój
387937;Turystyczna;Ul. Turystyczna;Jastrzębie-zdrój
921;Jasło;Brak;Jasło
49659;Jasło;Brak;Jasło
14442;Niepla;Niepla;Jasło
13480;Jawor;Brak;Jawor
265000;Ks. kazimierza ciuby;Ul. Ks. kazimierza ciuby;Jaworzno
12004;Pasieczna;Pasieczna;Jaworzyna śląska
10268;Kamińsk;Kamińsk;Jedlińsk
19277;Olszewka;Olszewka;Jednorożec
12775;Żelazna rządowa;Żelazna rządowa;Jednorożec
23649;Biczki;Biczki;Jedwabne
1905;Jedwabne;Brak;Jedwabne
20294;Przestrzele;Przestrzele;Jedwabne
17998;Brajniki;Brajniki;Jedwabno
428;Jelcz-laskowice;Brak;Jelcz-laskowice
40555;Celina;Celina;Jelcz-laskowice
296232;Fryderyka chopina;Chwałowice;Jelcz-laskowice
393;Jelenia góra;Brak;Jelenia góra
478815;Zagajnik;Cieplice śląskie-zdrój;Jelenia góra
8639;Potoczek;Potoczek;Jerzmanowa
13989;Pod skałą;Pod skałą;Jerzmanowice-przeginia
14686;Potrzymiech rzeszynkowski;Potrzymiech rzeszynkowski;Jeziora wielkie
504000;Sosnowa;Jonkowo;Jonkowo
6809;Kajny;Kajny;Jonkowo
10520;Porbady;Porbady;Jonkowo
12839;Tryczówka;Tryczówka;Juchnowiec kościelny
48491;Jutrosin;Brak;Jutrosin
24838;Żbiki;Żbiki;Jutrosin
8320;Józefów;Brak;Józefów
3593;Borów;Borów;Jędrzejów
17742;Łysaków drugi;Łysaków drugi;Jędrzejów
347;Kalisz;Brak;Kalisz
264694;Podmiejska;Dobrzec;Kalisz
24623;Siekiercze;Siekiercze;Kalisz pomorski
12367;Rudnik wielki;Rudnik wielki;Kamienica polska
12143;Ujazd-huby;Ujazd-huby;Kamieniec
39772;Mrokocin;Mrokocin;Kamieniec ząbkowicki
20241;Kamienna góra;Brak;Kamienna góra
384103;Jeleniogórska;Ul. Jeleniogórska;Kamienna góra
21926;Duble;Duble;Kamień
10639;Kamień;Kamień;Kamień
25894;Huta porajska;Huta porajska;Kamieńsk
45281;Chełchy iłowe;Chełchy iłowe;Karniewo
10726;Łukowo;Łukowo;Karniewo
8900;Dąbrowa;Dąbrowa;Karsin
19155;Podrąbiona;Podrąbiona;Karsin
1620;Kartuzy;Brak;Kartuzy
355;Katowice;Brak;Katowice
503037;Gen. józefa sowińskiego;Dolina trzech stawów;Katowice
288354;Szybowcowa;Dolina trzech stawów;Katowice
534572;Chorzowska;Dąb;Katowice
67364;Dąb;Dąb;Katowice
456375;Aleja wojciecha korfantego;Koszutka;Katowice
490913;Katowicka;Koszutka;Katowice
68746;Ligota;Ligota;Katowice
453169;Gdańska;Ligota-Panewniki;Katowice
412124;Aleksandra fredry;Piotrowice;Katowice
99681;Piotrowice;Piotrowice;Katowice
274369;Marcina radockiego;Piotrowice-Ochojec;Katowice
442048;Targowa;Piotrowice-Ochojec;Katowice
81386;Zadole;Zadole;Katowice
94327;Zarzecze;Zarzecze;Katowice
497300;Księdza piotra skargi;Śródmieście;Katowice
335782;Tadeusza kościuszki;Śródmieście;Katowice
442010;Żwirki i wigury;Śródmieście;Katowice
14264;Józefkowo;Józefkowo;Kcynia
7245;Suchoręcz;Suchoręcz;Kcynia
274760;Obrońców westerplatte;Baranówek;Kielce
79391;Bocianek;Bocianek;Kielce
381;Kielce;Brak;Kielce
283903;Krakowska;Cegielnia;Kielce
524947;Warszawska;Centrum;Kielce
550478;50-lecia ksm;Skwer 50-lecia ksm;Kielce
284150;Miodowa;Szydłówek;Kielce
104025;Szydłówek;Szydłówek;Kielce
460778;Sabinówek;Ul. Sabinówek;Kielce
511933;Szydłówek górny;Ul. Szydłówek górny;Kielce
370007;Jerzego szajnowicza-iwanowa;Ślichowice;Kielce
37885;Zamiary;Zamiary;Kiernozia
23707;Młynki;Młynki;Kije
59343;Kikół-wieś;Kikół-wieś;Kikół
4244;Klimy;Klimy;Kisielice
14796;Genowefa;Genowefa;Kleczew
53183;Sławoszewo;Sławoszewo;Kleczew
656;Klembów;Brak;Klembów
14330;Orzesznik;Orzesznik;Klembów
14417;Repczyce;Repczyce;Kleszczele
52854;Rowy;Rowy;Kleszczele
29281;Kluczbork;Brak;Kluczbork
11921;Jeżowiec;Jeżowiec;Kluczewsko
11907;Kluczewsko;Kluczewsko;Kluczewsko
10102;Rudka;Rudka;Kluczewsko
24347;Stoczyska;Stoczyska;Kluczewsko
19044;Podwódka;Podwódka;Kluki
21805;Lipowe;Lipowe;Klwów
14895;Knurów;Brak;Knurów
21787;Guzy;Guzy;Knyszyn
11270;Gorgoń;Gorgoń;Kobiele wielkie
33949;Bielany wrocławskie;Bielany wrocławskie;Kobierzyce
7895;Bzowo;Bzowo;Kobylnica
